sheet,role,disposition,update_requirement
Safety_Denominators,CANONICAL_ASSESSMENT_DATA,MIGRATE_RECONCILE,Preserve PRIMA denominators and safety-event records.
Comparative_Matrix,GENERATED_ANALYSIS,REGENERATE_AND_EXTEND,Reproduce three-case matrix and add a clearly separated four-case analysis including PRIMA.
Minimum_Evidence,NORMATIVE_DERIVED_RESOURCE,MIGRATE_RECONCILE,Preserve calibrated minimum evidence standard.
Calibration_Changes,CANONICAL_METHOD_RECORD,MIGRATE_RECONCILE,Preserve accepted v4.2 calibration changes.
Module_Summary,GENERATED_ANALYSIS,REGENERATE,Compute from canonical assessment findings.
Implementation_Indicators,CANONICAL_IMPLEMENTATION_DATA,MIGRATE_AND_UPDATE,Update indicators and connect to current programme operations.
Recommendation_Crosswalk,CANONICAL_POLICY_MAPPING,MIGRATE_AND_UPDATE,Update only through cited and versioned mapping changes.
Outreach_Contacts,OPERATIONAL_DATA,REVIEW_AND_UPDATE,Separate current contacts from historical prepared messages; verify before use.
Original_Entities,HISTORICAL_INPUT,PRESERVE_READ_ONLY,Retain exactly as supplied; never overwrite.
Original_Relationships,HISTORICAL_INPUT,PRESERVE_READ_ONLY,Retain exactly as supplied; never overwrite.
CSV_Dataset_Index,PROVENANCE_INDEX,REGENERATE,Index immutable archive and canonical migration status.
Raw_CSV_Rows,HISTORICAL_RAW_DATA,PRESERVE_AND_INDEX,"Keep complete raw rows as archive evidence, not canonical master."
JSON_File_Index,PROVENANCE_INDEX,REGENERATE,"Add schema family, canonical status, and successor mapping."
File_Manifest,PROVENANCE_INDEX,REGENERATE,Inventory all archive files and current generated artifacts with hashes.
